Corridor,settlement,county
874,Tyndall College,County_Carlow
874,Carlow,County_Carlow
874,Tinryland Junction,County_Carlow
874,Rathtoe,County_Carlow
874,Kernanstown,County_Carlow
874,Tullow,County_Carlow
874,Rathvilly,County_Carlow
874,Baltinglass,County_Wicklow
874,Kiltegan,County_Wicklow
874,Hacketstown,County_Carlow
874,Tullow,County_Carlow
874,Shillelagh,County_Wicklow
874,Tinahely,County_Wicklow
874,Aughrim,County_Wicklow
874,Arklow,County_Wicklow
874,Knockananna,County_Wicklow
1,Tralee,County_Kerry
1,Fieries,County_Kerry
1,Farranfore,County_Kerry
1,Killarney,County_Kerry
1,Kilcummin,County_Kerry
1,Gneevegullia,County_Kerry
1,Knocknagree,County_Cork
1,Barraduff,County_Kerry
1,Rathmore,County_Meath
1,Millstreet,County_Cork
1,Clondrohid,County_Cork
1,Courtbrack,County_Cork
1,Macroom,County_Cork
1,Crookstown,County_Cork
1,Farran,County_Cork
1,Rathard-Aherla,County_Cork
1,Killumney,County_Cork
1,Coachford,County_Cork
1,Dripsey,County_Cork
1,Cork city and suburbs,County_Cork
3,Limerick city and suburbs,County_Clare
3,Patrickswell,County_Limerick
3,Adare,County_Limerick
3,Croagh,County_Limerick
3,Rathkeale,County_Limerick
3,Newcastle West,County_Limerick
3,Abbeyfeale,County_Limerick
5,Limerick city and suburbs,County_Clare
5,Pallasgreen,County_Limerick
5,Oola,County_Limerick
5,Monard,County_Tipperary
5,Limerick Junction,County_Tipperary
5,Tipperary,County_Tipperary
5,Bansha,County_Tipperary
5,Cahir,County_Tipperary
5,Clonmel,County_Tipperary
5,Kilsheelan,County_Tipperary
5,Carrick-on-Suir,County_Tipperary
5,Piltown,County_Kilkenny
5,Fiddown,County_Kilkenny
5,Mooncoin,County_Kilkenny
5,Waterford city and suburbs,County_Kilkenny
6,Cork city and suburbs,County_Cork
6,Carrigtwohill,County_Cork
6,Midleton,County_Cork
6,Castlemartyr,County_Cork
6,Killeagh,County_Cork
6,Youghal,County_Cork
6,Dungarvan,County_Waterford
6,Ballinroad,County_Waterford
6,Waterford city and suburbs,County_Kilkenny
6,Lemybrien,County_Waterford
6,Kilmacthomas,County_Waterford
6,Ballyduff,County_Kerry
7,Cork city and suburbs,County_Cork
7,Watergrasshill,County_Cork
7,Rathcormac,County_Cork
7,Fermoy,County_Cork
7,Mitchelstown,County_Cork
7,Cahir,County_Tipperary
7,Cashel,County_Tipperary
7,Littleton,County_Tipperary
7,Johnstown,County_Kildare
7,Castletown,County_Laois
7,Mountrath,County_Laois
7,Portlaoise (formerly Maryborough),County_Laois
7,Ballybrittas,County_Laois
7,Monasterevan,County_Kildare
7,Kildare,County_Kildare
7,Newbridge,County_Galway
7,NAAS,County_Kildare
7,Kill,County_Kildare
7,Newcastle West,County_Limerick
7,Dublin city and suburbs,County_Dublin
8,Galway city and suburbs,County_Galway
8,Oranmore,County_Galway
8,Clarinbridge,County_Galway
8,Kilcolgan,County_Galway
8,Ardrahan,County_Galway
8,Gort,County_Galway
8,Crusheen,County_Clare
8,Ennis,County_Clare
8,Newmarket-On-Fergus,County_Clare
8,Shannon Airport,County_Clare
8,Shannon,County_Clare
8,Bunratty,County_Clare
8,Limerick city and suburbs,County_Clare
8,Patrickswell,County_Limerick
8,Croom,County_Limerick
8,Bruree,County_Limerick
8,Charleville,County_Cork
8,Buttevant,County_Cork
8,New Twopothouse,County_Cork
8,Mallow,County_Cork
8,Grenagh,County_Cork
8,Cork city and suburbs,County_Cork
11,Wexford,County_Wexford
11,Oilgate,County_Wexford
11,Enniscorthy,County_Wexford
11,Ferns,County_Wexford
11,Camolin,County_Wexford
11,Gorey,County_Wexford
11,Wicklow,County_Wicklow
11,Rathnew,County_Wicklow
11,Ashford,County_Wicklow
11,Newcastle,County_Dublin
11,Newtownmountkennedy,County_Wicklow
11,Kilpedder,County_Wicklow
11,Kilcoole,County_Wicklow
11,Greystones-Delgany,County_Wicklow
11,Kilmacanogue,County_Wicklow
11,Bray,County_Wicklow
11,Dublin city and suburbs,County_Dublin
12,Wexford,County_Wexford
12,Oilgate,County_Wexford
12,Enniscorthy,County_Wexford
12,Bunclody-Carrickduff,County_Wexford
12,Kildavin,County_Carlow
12,Ballon,County_Carlow
12,Tinryland Junction,County_Carlow
12,Carlow,County_Carlow
12,Athy,County_Kildare
12,Stradbally,County_Laois
12,Portlaoise (formerly Maryborough),County_Laois
14,Clonmel,County_Tipperary
14,Kilsheelan,County_Tipperary
14,Callan,County_Kilkenny
14,Kilkenny,County_Kilkenny
14,Paulstown,County_Kilkenny
14,Muinebeag (Bagenalstown),County_Carlow
14,Leighlinbridge,County_Carlow
14,Carlow,County_Carlow
14,Castledermot,County_Kildare
14,Ballitore,County_Kildare
14,Narraghmore,County_Kildare
14,Calverstown,County_Kildare
14,Kilcullen,County_Kildare
14,NAAS,County_Kildare
14,Johnstown,County_Kildare
14,Kill,County_Kildare
14,Newcastle West,County_Limerick
14,Dublin city and suburbs,County_Dublin
15,Athlone,County_Westmeath
15,Moate,County_Westmeath
15,Clara,County_Kilkenny
15,Tullamore,County_Offaly
15,Killeigh,County_Offaly
15,Mountmellick,County_Laois
15,Portlaoise (formerly Maryborough),County_Laois
15,Ballyroan,County_Laois
15,Abbeyleix,County_Laois
15,Durrow,County_Laois
15,Ballyragget,County_Kilkenny
16,Athlone,County_Westmeath
16,Ferbane,County_Offaly
16,Cloghan,County_Offaly
16,Birr,County_Offaly
16,Riverstown,County_Offaly
16,Borrisokane,County_Tipperary
16,Nenagh,County_Tipperary
16,Borrisoleigh,County_Tipperary
16,Thurles,County_Tipperary
16,Littleton,County_Tipperary
16,Cashel,County_Tipperary
16,Cahir,County_Tipperary
16,Clonmel,County_Tipperary
22,Galway city and suburbs,County_Galway
22,Baile ChlÃ¡ir,County_Galway
22,Lackaghbeg,County_Galway
22,Cluain Bú,County_Galway
22,Corrofin,County_Clare
22,Tuam,County_Galway
22,Milltown,County_Kildare
22,Ballindine,County_Mayo
22,Claremorris,County_Mayo
25,Cavan,County_Cavan
25,Ballyhaise,County_Cavan
25,Cootehill,County_Cavan
25,Rockcorry,County_Monaghan
25,Corcaghan,County_Monaghan
25,Monaghan,County_Monaghan
25,Dublin city and suburbs,County_Dublin
25,Lisburn,County_Antrim
25,Belfast,County_Antrim
27,Longford,County_Longford
27,Edgeworthstown,County_Longford
27,Rathowen,County_Westmeath
27,Multyfarnham,County_Westmeath
27,Mullingar,County_Westmeath
27,Kinnegad,County_Westmeath
27,Clonard,County_Meath
27,Johnstownbridge,County_Kildare
27,Enfield,County_Meath
27,Kilcock,County_Kildare
27,Dublin city and suburbs,County_Dublin
31,Donegal,County_Donegal
31,Laghy,County_Donegal
31,Ballintra,County_Donegal
31,Rossnowlagh,County_Donegal
31,Ballyshannon,County_Donegal
31,Belleek,County_Fermanagh
31,Enniskillen,County_Fermanagh
31,Belturbet,County_Cavan
31,Butlersbridge,County_Cavan
31,Cavan,County_Cavan
31,Virginia,County_Cavan
31,Carnaross North,County_Meath
31,Kells,County_Kerry
31,Dublin city and suburbs,County_Dublin
31,Dunshaughlin,County_Meath
31,Dublin Airport,County_Dublin
31,Dublin city and suburbs,County_Dublin
33,Enniskillen,County_Fermanagh
33,Clones,County_Monaghan
33,Smithborough,County_Monaghan
33,Monaghan,County_Monaghan
33,Clontibret,County_Monaghan
33,Annayalla,County_Monaghan
33,Castleblayney,County_Monaghan
33,Dundalk,County_Louth
34,Sligo,County_Sligo
34,Grange,County_Dublin
34,Tullaghan,County_Leitrim
34,Ballyshannon,County_Donegal
34,Rossnowlagh,County_Donegal
34,Ballintra,County_Donegal
34,Laghy,County_Donegal
34,Donegal,County_Donegal
34,Ballybofey-Stranorlar,County_Donegal
34,Drumkeen,County_Donegal
34,Letterkenny,County_Donegal
34,Manorcunningham,County_Donegal
34,Newtowncunningham,County_Donegal
34,Kildrum,County_Donegal
36,Lifford,County_Donegal
36,Omagh,County_Tyrone
36,Ballygawley,County_Tyrone
36,Emyvale,County_Monaghan
36,Monaghan,County_Monaghan
36,Clontibret,County_Monaghan
36,Annayalla,County_Monaghan
36,Castleblayney,County_Monaghan
36,Carrickmacross,County_Monaghan
36,Ardee,County_Louth
36,Tullyallen,County_Louth
36,Drogheda,County_Louth
36,Stamullen,County_Meath
36,Balbriggan,County_Dublin
36,Swords,County_Dublin
36,Dublin Airport,County_Dublin
36,Dublin city and suburbs,County_Dublin
39,Belfast,County_Antrim
39,Newry,County_Down
39,Dundalk,County_Louth
39,Dromiskin,County_Louth
39,Ardee,County_Louth
39,Tullyallen,County_Louth
39,Drogheda,County_Louth
39,Stamullen,County_Meath
39,Balbriggan,County_Dublin
39,Swords,County_Dublin
39,Dublin Airport,County_Dublin
39,Dublin city and suburbs,County_Dublin
42,Limerick city and suburbs,County_Clare
42,Castleconnell,County_Limerick
42,Reardnogy,County_Tipperary
42,Thurles,County_Tipperary
42,Twomileborris,County_Tipperary
42,Johnstown,County_Kildare
42,Freshford,County_Kilkenny
42,Kilkenny,County_Kilkenny
72,Athlone,County_Westmeath
72,Ferbane,County_Offaly
72,Cloghan,County_Offaly
72,Birr,County_Offaly
72,Riverstown,County_Louth
72,Borrisokane,County_Tipperary
72,Nenagh,County_Tipperary
72,Birdhill,County_Tipperary
72,Limerick city and suburbs,County_Clare
181,Roundwood,County_Wicklow
181,Newtownmountkennedy,County_Wicklow
181,Kilmacanogue,County_Wicklow
181,Bray,County_Wicklow
230,Cork city and suburbs,County_Cork
230,Halfway,County_Cork
230,Inishannon,County_Cork
230,Bandon,County_Cork
230,Clonakilty,County_Cork
230,Rosscarbery,County_Cork
230,Leap,County_Cork
230,Skibbereen,County_Cork
236,Bantry,County_Cork
236,Drimoleague,County_Cork
236,Dunmanway,County_Cork
236,Ballineen-Enniskean,County_Cork
236,Bandon,County_Cork
236,Inishannon,County_Cork
236,Halfway,County_Cork
236,Cork city and suburbs,County_Cork
239,Cork city and suburbs,County_Cork
239,Halfway,County_Cork
239,Crossbarry,County_Cork
239,Bandon,County_Cork
239,Timoleague,County_Cork
239,Courtmacsherry,County_Cork
239,Lislevane,County_Cork
264,Ballyshannon,County_Donegal
264,Rossnowlagh,County_Donegal
264,Ballintra,County_Donegal
264,Laghy,County_Donegal
264,Donegal,County_Donegal
264,Ballybofey-Stranorlar,County_Donegal
264,Drumkeen,County_Donegal
264,Letterkenny,County_Donegal
343,Ennis,County_Clare
343,Newmarket-On-Fergus,County_Clare
343,Shannon Airport,County_Clare
343,Shannon,County_Clare
343,Bunratty,County_Clare
343,Limerick city and suburbs,County_Clare
379,Gorey,County_Wexford
379,Courtown Harbour-Riverchapel-Ardamine,County_Wexford
379,Kilmuckeridge or Ford,County_Wexford
379,Castlebridge-Blackwater,County_Wexford
379,Wexford,County_Wexford
393,Thurles,County_Tipperary
393,Twomileborris,County_Tipperary
393,Urlingford,County_Kilkenny
393,Gortnahoo,County_Tipperary
393,Ballynonty,County_Tipperary
393,Killenaule,County_Tipperary
393,Fethard,County_Tipperary
393,Lisronagh,County_Tipperary
393,Clonmel,County_Tipperary
394,Thurles,County_Tipperary
394,Holycross,County_Tipperary
394,Boherlahan,County_Tipperary
394,Cashel,County_Tipperary
394,Rosegreen,County_Tipperary
394,Ballyclerahan,County_Tipperary
440,Westport,County_Mayo
440,Castlebar,County_Mayo
440,Turlough,County_Mayo
440,Bellavary,County_Mayo
440,Bohola,County_Mayo
440,Swinford,County_Mayo
440,Charlestown-Bellahy,County_Mayo
440,Kilkelly,County_Mayo
440,Knock,County_Mayo
440,Claremorris,County_Mayo
440,Ballyhaunis,County_Mayo
440,Ballinlough,County_Roscommon
440,Castlerea,County_Roscommon
440,Roscommon,County_Roscommon
440,Knockcroghery,County_Galway
440,Lecarrow,County_Roscommon
440,Athlone,County_Westmeath
445,Ballycastle,County_Mayo
445,Killala,County_Mayo
445,Ballina,County_Tipperary
445,Bunnyconnelan West,County_Mayo
480,Sligo,County_Sligo
480,Grange,County_Dublin
480,Tullaghan,County_Leitrim
480,Bundoran,County_Donegal
480,Ballyshannon,County_Donegal
480,Rossnowlagh,County_Donegal
480,Ballintra,County_Donegal
480,Laghy,County_Donegal
480,Donegal,County_Donegal
487,Lifford,County_Donegal
487,Ballindrait,County_Donegal
487,Convoy,County_Donegal
487,Drumkeen,County_Donegal
487,Letterkenny,County_Donegal
564,Carrick-On-Shannon,County_Leitrim
564,Drumsna,County_Leitrim
564,Dromod Station,County_Leitrim
564,Mohill,County_Leitrim
564,Ballinamore,County_Leitrim
564,Corlough,County_Cavan
564,Swanlinbar,County_Cavan
564,Enniskillen,County_Fermanagh
570,Boyle,County_Roscommon
570,Elphin,County_Roscommon
570,Tulsk,County_Roscommon
570,Strokestown,County_Roscommon
570,Roscommon,County_Roscommon
812,Urlingford,County_Kilkenny
812,Johnstown,County_Kildare
812,Templetuohy,County_Tipperary
812,Thurles,County_Tipperary
831,Borris-In-Ossory,County_Laois
831,Rathdowney,County_Laois
831,Ballycolla,County_Laois
831,Durrow,County_Laois
831,Ballinakill,County_Laois
831,Abbeyleix,County_Laois
831,Ballyroan,County_Laois
831,Portlaoise (formerly Maryborough),County_Laois
855,Tipperary,County_Tipperary
855,Bansha,County_Tipperary
855,Cahir,County_Tipperary
855,Cashel,County_Tipperary
881,Kilkenny,County_Kilkenny
881,Gowran,County_Kilkenny
881,Goresbridge,County_Kilkenny
881,Borris,County_Carlow
881,Graiguenamanagh-Tinnahinch,County_Carlow
882,Kilkenny,County_Kilkenny
882,Bennettsbridge,County_Kilkenny
882,Thomastown,County_Kilkenny
882,Inistioge,County_Kilkenny
882,New Ross,County_Wexford
885,Carlow,County_Carlow
885,Castledermot,County_Kildare
885,Baltinglass,County_Wicklow
885,Stratford,County_Wicklow
885,Dunlavin,County_Wicklow
885,Grangemore,County_Wicklow
885,Ballymore Eustace,County_Kildare
885,Blessington,County_Wicklow
885,NAAS,County_Kildare
885,Sallins,County_Kildare
923,Galway city and suburbs,County_Galway
923,Maigh Cuilinn,County_Galway
923,Rosscahill,County_Galway
923,Oughterard,County_Galway
923,Maam Cross,County_Galway
923,Clifden,County_Galway
930,Enniskillen,County_Fermanagh
930,Swanlinbar,County_Cavan
930,Ballyconnell,County_Cavan
956,Buncrana,County_Donegal
956,Fahan,County_Donegal
956,Burnfoot,County_Donegal
956,Bridge End,County_Donegal
991,Killybegs,County_Donegal
991,Ardara,County_Donegal
991,Glenties,County_Donegal
991,Baile Mhic Ãre,County_Cork
991,Letterkenny,County_Donegal
10a,Waterford city and suburbs,County_Kilkenny
10a,Slieverue,County_Kilkenny
10a,New Ross,County_Wexford
10a,Barntown,County_Wexford
10a,Wexford,County_Wexford
13b,Waterford city and suburbs,County_Kilkenny
13b,Kilmacow,County_Kilkenny
13b,Mullinavat,County_Kilkenny
13b,Ballyhale,County_Kilkenny
13b,Knocktopher,County_Kilkenny
13b,Lawcus-Stoneyford,County_Kilkenny
13b,Kilkenny,County_Kilkenny
13b,Paulstown,County_Kilkenny
13b,Muinebeag (Bagenalstown),County_Carlow
13b,Leighlinbridge,County_Carlow
13b,Carlow,County_Carlow
13b,Castledermot,County_Kildare
13b,Ballitore,County_Kildare
13b,Narraghmore,County_Kildare
13b,Calverstown,County_Kildare
13b,Kilcullen,County_Kildare
13b,NAAS,County_Kildare
13b,Johnstown,County_Kildare
13b,Kill,County_Kildare
13b,Newcastle West,County_Limerick
13b,Dublin city and suburbs,County_Dublin
17b,Limerick city and suburbs,County_Clare
17b,Ballina,County_Tipperary
17b,Nenagh,County_Tipperary
17b,Toomevara,County_Tipperary
17b,Moneygall,County_Offaly
17b,Roscrea,County_Tipperary
17b,Borris-In-Ossory,County_Laois
17b,Castletown,County_Laois
17b,Mountrath,County_Laois
17b,Portlaoise (formerly Maryborough),County_Laois
17b,Monasterevan,County_Kildare
17b,Kildare,County_Kildare
17b,Newbridge,County_Galway
17b,NAAS,County_Kildare
17b,Sallins,County_Kildare
17b,Johnstown,County_Kildare
17b,Kill,County_Kildare
17b,Newcastle West,County_Limerick
17b,Dublin city and suburbs,County_Dublin
23b,Galway city and suburbs,County_Galway
23b,Craughwell,County_Galway
23b,Loughrea,County_Galway
23b,Ballinasloe,County_Galway
23b,Athlone,County_Westmeath
23b,Moate,County_Westmeath
23b,Kilbeggan,County_Westmeath
23b,Tyrrellspass,County_Westmeath
23b,Rochfortbridge,County_Westmeath
23b,Milltownpass,County_Westmeath
23b,Kinnegad,County_Westmeath
23b,Clonard,County_Meath
23b,Johnstownbridge,County_Kildare
23b,Enfield,County_Meath
23b,Kilcock,County_Kildare
23b,Maynooth,County_Kildare
23b,Dublin city and suburbs,County_Dublin
A31,Portlaoise (formerly Maryborough),County_Laois
A31,Mountmellick,County_Laois
A31,Portarlington,County_Laois
A31,Bracknagh,County_Offaly
A31,Clonbullogue,County_Offaly
A31,Edenderry,County_Offaly
A31,Kinnegad,County_Westmeath
A31,Killucan-Rathwire,County_Westmeath
A31,Mullingar,County_Westmeath
A67,Carlow,County_Carlow
A67,Tinryland Junction,County_Carlow
A67,Fennagh,County_Carlow
A67,Kilmyshall,County_Wexford
A67,Bunclody-Carrickduff,County_Wexford
A67,Clonegal,County_Carlow
A67,Carnew,County_Wicklow
A67,Coolboy,County_Wicklow
A67,Coolgreany,County_Wexford
A67,Killinierin,County_Wexford
A67,Gorey,County_Wexford
A78,Athlone,County_Westmeath
A78,Ballyfarnan,County_Roscommon
A78,Ballygar,County_Galway
A78,Athleague,County_Roscommon
A78,Roscommon,County_Roscommon
A89,Kilkenny,County_Kilkenny
A89,Callan,County_Kilkenny
A89,Mullinahone,County_Tipperary
A89,Drangan,County_Tipperary
A89,Fethard,County_Tipperary
A89,Lisronagh,County_Tipperary
A89,Clonmel,County_Tipperary
A90,Kilkenny,County_Kilkenny
A90,Lawcus-Stoneyford,County_Kilkenny
A90,Knocktopher,County_Kilkenny
A90,Ballyhale,County_Kilkenny
A90,Mullinavat,County_Kilkenny
A90,Kilmacow,County_Kilkenny
A90,Waterford city and suburbs,County_Kilkenny
B52,Ballymahon,County_Longford
B52,Mullingar,County_Westmeath
B57,Galway city and suburbs,County_Galway
B57,Oranmore,County_Galway
B57,Craughwell,County_Galway
B57,Loughrea,County_Galway
B57,Killimor,County_Galway
B57,Portumna,County_Galway
B57,Borrisokane,County_Tipperary
B57,Nenagh,County_Tipperary
963,Letterkenny,County_Donegal
974,Letterkenny,County_Donegal
974,Ramelton,County_Donegal
974,Milford,County_Donegal
974,Carraig Airt,County_Donegal
974,Cnoc Na Muirleog,County_Donegal
